Academic license - for non-commercial use only
Optimize a model with 191 rows, 185 columns and 753 nonzeros
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [6e+02, 3e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [6e+00, 9e+01]
Presolve removed 161 rows and 155 columns
Presolve time: 0.00s
Presolved: 30 rows, 30 columns, 280 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.975000e+01   0.000000e+00      0s
      19    1.9966144e+05   0.000000e+00   0.000000e+00      0s

Solved in 19 iterations and 0.01 seconds
Optimal objective  1.996614416e+05

Optimised for communication 4.
Objective value: 199661.44164037856


== FULL ANALYSIS ==
Variable Analysis
    variable  =     x *  coeff |     rc | obj low obj high
X[DC0,S0,U0]  =   0.0 *    0.0 |    0.0 |  -525.0  1e+100
X[DC1,S0,U0]  =   0.0 *    0.0 |    0.0 | -580.9842  1e+100
X[DC2,S0,U0]  =  18.0 *    0.0 |    0.0 | -1690.0158   525.0
X[DC0,S1,U0]  =   7.0 *    0.0 |    0.0 | -1445.0158 300.9842
X[DC1,S1,U0]  =   0.0 *    0.0 |    0.0 | -300.9842  1e+100
X[DC2,S1,U0]  =   0.0 *    0.0 |    0.0 | -1117.0  1e+100
X[DC0,S2,U0]  =  21.0 *    0.0 |    0.0 | -2401.0158   261.0
X[DC1,S2,U0]  =   0.0 *    0.0 |    0.0 | -517.9842  1e+100
X[DC2,S2,U0]  =   0.0 *    0.0 |    0.0 |  -261.0  1e+100
X[DC0,S3,U0]  =   0.0 *    0.0 |    0.0 | -278.8013  1e+100
X[DC1,S3,U0]  =  29.0 *    0.0 |    0.0 | -1025.1724 170.1806
X[DC2,S3,U0]  =   0.0 *    0.0 |    0.0 | -170.1806  1e+100
X[DC0,S4,U0]  =  10.0 *    0.0 |    0.0 | -183.4396 167.0158
X[DC1,S4,U0]  =   0.0 *    0.0 |    0.0 | -359.3561  1e+100
X[DC2,S4,U0]  =   7.0 *    0.0 |    0.0 | -167.0158 183.4396
X[DC0,S5,U0]  =   0.0 *    0.0 |    0.0 |  -908.0  1e+100
X[DC1,S5,U0]  = 8.3859 *    0.0 |    0.0 | -478.8947 1620.7043
X[DC2,S5,U0]  = 1.6141 *    0.0 |    0.0 | -1620.7043 478.8947
X[DC0,S6,U0]  =   0.0 *    0.0 |    0.0 | -872.0158  1e+100
X[DC1,S6,U0]  =   6.0 *    0.0 |    0.0 | -2063.0 872.0158
X[DC2,S6,U0]  =   0.0 *    0.0 |    0.0 | -980.0158  1e+100
X[DC0,S7,U0]  =   0.0 *    0.0 |    0.0 | -709.6112  1e+100
X[DC1,S7,U0]  = 5.1819 *    0.0 |    0.0 | -902.4545 1058.983
X[DC2,S7,U0]  = 2.8181 *    0.0 |    0.0 | -1058.983 846.7255
X[DC0,S8,U0]  =   0.0 *    0.0 |    0.0 | -167.0158  1e+100
X[DC1,S8,U0]  = 4.5342 *    0.0 |    0.0 | -967.6863 199.2873
X[DC2,S8,U0]  = 2.4658 *    0.0 |    0.0 | -719.1923 967.6863
X[DC0,S9,U0]  =   7.0 *    0.0 |    0.0 | -1540.0158 195.9842
X[DC1,S9,U0]  =   0.0 *    0.0 |    0.0 | -195.9842  1e+100
X[DC2,S9,U0]  =   0.0 *    0.0 |    0.0 |  -857.0  1e+100
X[DC0,S0,U1]  =   0.0 *    0.0 |    0.0 |  -525.0  1e+100
X[DC1,S0,U1]  =   0.0 *    0.0 |    0.0 | -580.9842  1e+100
X[DC2,S0,U1]  =  18.0 *    0.0 |    0.0 | -1690.0158   525.0
X[DC0,S1,U1]  =   7.0 *    0.0 |    0.0 | -1445.0158 300.9842
X[DC1,S1,U1]  =   0.0 *    0.0 |    0.0 | -300.9842  1e+100
X[DC2,S1,U1]  =   0.0 *    0.0 |    0.0 | -1117.0  1e+100
X[DC0,S2,U1]  =  21.0 *    0.0 |    0.0 | -2401.0158   261.0
X[DC1,S2,U1]  =   0.0 *    0.0 |    0.0 | -517.9842  1e+100
X[DC2,S2,U1]  =   0.0 *    0.0 |    0.0 |  -261.0  1e+100
X[DC0,S3,U1]  =   0.0 *    0.0 |    0.0 | -539.0158  1e+100
X[DC1,S3,U1]  =  15.0 *    0.0 |    0.0 | -1982.0 329.0158
X[DC2,S3,U1]  =   0.0 *    0.0 |    0.0 | -329.0158  1e+100
X[DC0,S4,U1]  =  10.0 *    0.0 |    0.0 | -183.4396 167.0158
X[DC1,S4,U1]  =   0.0 *    0.0 |    0.0 | -359.3561  1e+100
X[DC2,S4,U1]  =   7.0 *    0.0 |    0.0 | -167.0158 183.4396
X[DC0,S5,U1]  =   0.0 *    0.0 |    0.0 |  -908.0  1e+100
